,,Agricultura familiar - não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultura familiar - sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca
,Produção de lavouras temporárias,91,-,-,-,-,1,-,-,-,3,73,-,-,-,-,-,3,-,-,4,3,1,-,-,-,-,-,-,1,-,-,1,5,3,720,3,-,-,-,1,4,-,-,2,614,-,-,4,1,-,25,1,3,36,14,14,11,-,-,1,-,-,-,-,1,-,29,18
,Horticultura e floricultura,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,27,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,3,8,5,-,-,-,-,-,-,-,-,-,-,-,6,1
,Produção de lavouras permanentes,43,-,-,-,-,3,2,-,-,3,10,-,-,-,-,-,1,-,-,22,2,-,-,-,-,-,-,-,-,-,-,-,5,-,239,1,-,-,-,47,11,-,-,8,63,-,-,2,1,-,7,2,2,88,21,4,3,-,-,-,1,-,-,-,-,-,11,1
,Produção de sementes e mudas certificadas,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,258,1,-,-,-,-,3,-,1,24,27,-,-,-,-,2,5,-,5,26,143,1,3,-,4,7,5,2,3,-,-,2,30,2,1319,1,-,-,2,36,17,-,2,63,224,1,-,2,-,4,30,-,26,109,782,28,5,-,2,13,9,-,3,-,3,2,79,18
,Produção florestal - florestas plantadas,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Produção florestal - florestas nativas,13,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,118,-,-,-,-,-,-,-,-,2,102,-,-,-,-,-,-,1,1,9,-,1,2,-,-,-,-,-,-,-,4,-,2,-
,Pesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aquicultura,17,-,-,-,-,-,-,-,-,-,4,-,-,-,-,1,-,-,1,4,4,-,-,-,-,-,3,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Acre,Total,1475,1,-,-,98,1,-,-,-,14,1021,10,2,-,2,2,4,-,17,155,134,17,43,-,52,69,67,6,-,-,68,32,52,131,13356,4,4,-,588,4,17,1,4,82,11312,17,124,5,16,6,82,3,44,783,641,144,147,-,253,370,283,26,-,-,606,59,339,1481
