,,Agricultura familiar - não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultura familiar - sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca
,Horticultura e floricultura,18,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,3,7,-,-,1,-,-,-,1,-,-,-,1,-,-,4,155,-,-,-,1,-,-,-,-,2,129,-,-,-,-,-,-,2,4,32,-,-,3,-,-,-,-,-,-,-,2,-,3,98
,Produção de lavouras permanentes,73,-,-,-,1,-,-,-,-,-,26,-,-,-,-,-,1,2,-,47,-,-,16,-,1,1,3,-,-,-,9,-,1,3,410,-,-,-,8,-,2,-,-,1,202,-,-,-,-,-,-,2,2,245,1,-,81,-,1,3,3,-,-,-,13,1,6,28
,Produção de sementes e mudas certificadas,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,1,1
,Pecuária e criação de outros animais,164,-,-,-,-,-,-,-,-,2,37,-,-,-,-,1,-,1,7,48,62,1,30,1,6,11,16,-,-,-,6,4,4,10,318,-,-,-,-,-,2,-,-,8,124,-,-,1,2,1,1,4,9,102,83,-,46,-,11,6,15,-,-,-,2,4,17,27
,Produção florestal - florestas plantadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,Produção florestal - florestas nativas,106,-,2,-,2,-,1,-,-,2,51,2,1,-,1,-,4,14,9,36,1,-,43,-,-,5,3,-,-,1,19,8,9,18,759,-,1,-,1,-,1,-,-,11,352,8,4,-,3,-,6,34,30,129,-,-,386,-,1,14,3,-,-,-,28,46,48,126
,Pesca,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,1,-,6,-,-,8,-,-,-,-,-,-,-,-,2,-,3
,Aquicultura,23,-,-,-,1,-,-,-,-,-,10,-,-,-,-,-,1,-,-,9,1,-,3,-,-,1,-,-,-,-,3,-,1,3,6,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-
Tocantins,Total,2558,7,-,-,109,2,2,-,-,167,899,6,1,81,11,58,5,39,36,176,887,34,63,-,213,279,164,30,21,2,26,6,250,41,9560,16,1,-,660,2,7,2,-,472,5509,7,6,53,15,93,37,435,119,826,2169,202,219,-,506,787,511,71,39,4,342,2,411,172
,Produção de lavouras temporárias,558,5,-,-,52,1,1,-,-,28,376,3,-,14,1,6,1,9,5,20,51,14,13,-,28,42,19,4,2,-,3,-,45,14,2818,6,-,-,281,-,1,-,-,64,2400,2,2,6,2,17,16,102,12,136,128,78,31,-,49,162,122,10,4,1,56,-,76,72
,Horticultura e floricultura,14,-,-,-,-,-,-,-,-,2,6,1,-,-,-,1,1,1,-,3,1,2,-,-,-,1,-,-,-,-,-,-,1,-,102,-,-,-,2,-,-,-,-,3,57,-,-,1,-,-,-,5,-,12,5,2,3,-,-,3,4,-,-,-,2,-,15,1
,Produção de lavouras permanentes,30,-,-,-,1,-,-,-,-,2,9,-,-,-,-,-,-,1,-,11,2,-,1,-,-,-,2,-,-,-,-,-,5,-,136,-,-,-,10,-,-,1,-,7,59,-,-,-,1,1,1,8,-,64,6,2,4,-,-,5,4,1,-,-,6,-,4,4
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,1748,2,-,-,53,1,1,-,-,124,469,2,1,37,9,49,3,22,30,129,826,18,44,-,183,226,133,25,19,2,12,4,109,24,5944,10,1,-,349,2,6,-,-,363,2887,5,4,39,12,72,20,190,106,485,2018,118,176,-,453,602,365,59,35,3,157,2,171,94
,Produção florestal - florestas plantadas,7,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,12,-,-,-,3,-,-,-,-,-,6,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2,-,1,-
,Produção florestal - florestas nativas,178,-,-,-,2,-,-,-,-,10,24,-,-,30,1,2,-,6,1,12,2,-,5,-,2,8,6,1,-,-,8,-,90,2,530,-,-,-,15,-,-,1,-,33,91,-,-,7,-,3,-,128,1,127,8,1,5,-,3,13,15,-,-,-,119,-,144,1
,Pesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aquicultura,23,-,-,-,-,-,-,-,-,1,14,-,-,-,-,-,-,-,-,1,5,-,-,-,-,2,4,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,2,1,-,-,1,2,1,1,-,-,-,-,-,-
Maranhão,Total,10713,95,-,-,2614,-,-,11,-,67,6388,59,-,1,1,2,3,1025,19,214,279,15,105,-,165,178,61,4,-,2,2371,11,109,471,91662,401,-,-,20769,1,2,45,-,305,63138,228,2,1,14,7,21,8672,64,869,909,62,538,-,653,1063,243,26,2,4,19459,44,530,5687
,Produção de lavouras temporárias,6376,63,-,-,1644,-,-,-,-,15,4621,22,-,-,-,-,3,447,11,56,7,6,40,-,27,55,15,-,-,-,947,1,21,380,62161,316,-,-,12834,-,1,8,-,90,51109,101,1,-,10,-,15,3397,31,255,13,39,224,-,206,462,95,1,-,2,7631,5,226,4890
,Horticultura e floricultura,45,-,-,-,9,-,-,-,-,1,22,-,-,1,-,-,-,4,-,6,1,-,2,-,-,-,2,-,-,-,11,-,3,-,446,-,-,-,128,-,-,-,-,1,217,3,-,1,-,-,-,48,2,14,3,-,10,-,3,8,3,1,-,-,104,-,14,7
,Produção de lavouras permanentes,105,1,-,-,16,-,-,7,-,3,42,-,-,-,-,-,-,3,1,20,-,-,4,-,5,2,1,-,-,-,25,-,6,8,979,4,-,-,206,-,-,25,-,27,447,1,-,-,1,-,-,63,2,85,1,2,40,-,23,33,9,-,-,-,246,-,45,73
,Produção de sementes e mudas certificadas,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
,Pecuária e criação de outros animais,2431,26,-,-,565,-,-,4,-,42,932,33,-,-,1,2,-,256,2,78,257,8,36,-,112,102,33,4,-,2,524,8,57,43,17165,67,-,-,5299,1,1,11,-,156,8579,111,1,-,2,7,6,1723,19,293,883,21,150,-,388,403,108,23,2,1,3629,28,107,483
,Produção florestal - florestas plantadas,21,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,15,1,1,-,61,-,-,-,14,-,-,-,-,-,14,1,-,-,-,-,-,11,-,1,1,-,-,-,1,2,1,-,-,-,39,1,-,-
,Produção florestal - florestas nativas,895,3,-,-,211,-,-,-,-,3,183,4,-,-,-,-,-,291,1,31,2,1,14,-,3,6,2,-,-,-,678,1,14,20,10220,13,-,-,2207,-,-,1,-,28,2283,10,-,-,1,-,-,3413,7,204,5,-,107,-,25,138,22,1,-,1,7677,10,137,206
,Pesca,43,-,-,-,12,-,-,-,-,-,26,-,-,-,-,-,-,2,-,2,-,-,-,-,-,3,2,-,-,-,13,-,1,1,379,-,-,-,37,-,-,-,-,1,301,1,-,-,-,-,-,7,3,9,-,-,7,-,3,12,3,-,-,-,94,-,-,16
,Aquicultura,794,2,-,-,156,-,-,-,-,3,559,-,-,-,-,-,-,22,4,19,10,-,9,-,17,10,6,-,-,-,157,-,6,19,248,1,-,-,43,-,-,-,-,2,187,-,-,-,-,-,-,10,-,8,3,-,-,-,4,5,2,-,-,-,37,-,1,12
Piauí,Total,6352,49,-,-,925,-,-,134,3,467,1200,15,-,10,1,53,22,760,60,108,329,53,227,-,177,1092,1495,110,3,382,1856,69,114,751,31132,222,-,-,6611,-,-,390,9,1587,7500,66,3,22,4,362,79,4966,175,368,1138,506,631,-,524,4497,6426,353,20,1520,9387,255,400,5277
,Produção de lavouras temporárias,2592,38,-,-,570,-,-,24,-,111,769,6,-,2,-,3,11,248,14,26,15,29,55,-,30,354,414,9,-,72,790,27,31,470,14196,165,-,-,4261,-,-,77,-,331,4937,29,2,2,2,16,40,1798,28,118,40,340,218,-,106,1447,1968,33,1,340,3823,80,126,3486
,Horticultura e floricultura,39,-,-,-,1,-,-,-,-,-,11,-,-,1,-,-,-,3,3,1,1,-,-,-,1,8,7,-,-,1,10,-,7,7,139,-,-,-,15,-,-,1,-,10,21,-,-,2,-,-,2,19,2,10,2,1,1,-,-,24,27,1,-,2,44,1,13,16
,Produção de lavouras permanentes,206,3,-,-,14,-,-,49,-,38,34,-,-,-,1,1,-,15,1,15,2,2,18,-,2,25,32,-,-,2,32,-,9,21,913,1,-,-,119,-,-,133,-,92,273,-,-,-,2,2,1,52,4,29,8,18,28,-,13,120,118,-,-,5,146,8,17,207
,Produção de sementes e mudas certificadas,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,2731,6,-,-,228,-,-,56,3,268,309,8,-,5,-,49,10,230,36,48,305,17,136,-,124,599,866,91,2,282,586,35,58,198,11490,49,-,-,1483,-,-,171,8,1034,1857,35,-,15,-,337,35,1068,112,164,1074,139,326,-,378,2339,3420,283,18,1043,2644,140,187,1245
,Produção florestal - florestas plantadas,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4,1,6,1,-,2,3,-,-,-,18,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,2,-,1,-,-,-,-,2,3,7,1,-,4,4,-,-,1
,Produção florestal - florestas nativas,634,1,-,-,74,-,-,-,-,36,50,-,-,-,-,-,1,250,5,10,5,1,10,-,7,84,145,9,1,19,398,7,6,36,4243,5,-,-,702,-,-,5,1,112,381,2,1,2,-,7,1,1994,29,44,10,7,50,-,22,552,868,33,1,121,2662,25,56,300
,Pesca,16,-,-,-,4,-,-,-,-,1,5,-,-,-,-,-,-,2,-,-,-,-,1,-,2,3,1,-,-,-,10,-,-,4,50,-,-,-,11,-,-,-,-,4,11,-,-,-,-,-,-,6,-,-,-,-,5,-,-,3,8,-,-,4,31,-,-,4
,Aquicultura,118,1,-,-,34,-,-,5,-,12,22,1,-,2,-,-,-,11,1,7,1,4,6,-,7,17,24,-,-,4,26,-,3,15,82,2,-,-,20,-,-,3,-,3,19,-,-,1,-,-,-,27,-,2,4,1,3,-,3,8,10,2,-,1,33,1,1,18
Ceará,Total,9319,38,2,-,62,6,15,30,3,313,3322,52,-,5,2,56,16,33,74,100,1682,102,242,-,97,1150,809,3,1,105,1935,25,423,1658,35251,117,11,-,215,6,24,127,3,1124,15456,152,2,26,2,182,48,219,137,162,6766,240,619,-,289,3691,2705,4,2,349,6390,47,1429,8619
,Produção de lavouras temporárias,3827,23,-,-,32,1,2,4,-,73,2024,31,-,3,-,2,11,8,19,18,55,59,78,-,16,449,214,-,-,20,904,7,167,966,14652,74,4,-,133,1,7,21,1,228,9207,71,-,14,-,11,22,39,35,22,269,133,216,-,42,1373,725,1,-,78,2881,11,476,4959
,Horticultura e floricultura,107,1,-,-,1,1,3,-,-,6,42,2,-,1,-,-,-,-,6,6,3,3,7,-,-,3,3,-,-,1,13,1,18,5,334,-,-,-,-,1,2,1,-,23,183,5,-,-,-,-,2,-,5,7,14,6,8,-,1,28,9,-,-,2,50,1,23,43
,Produção de lavouras permanentes,877,6,-,-,-,3,5,18,-,66,619,-,-,1,1,-,1,4,8,38,25,18,32,-,6,27,13,-,-,-,38,1,43,369,3790,9,-,-,7,3,6,75,-,254,3042,4,-,-,1,1,3,13,16,56,47,35,42,-,4,84,28,-,1,2,160,3,199,1930
,Produção de sementes e mudas certificadas,2,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,3991,7,2,-,28,1,5,5,3,154,579,19,-,-,-,52,4,9,40,34,1571,21,107,-,72,620,546,3,1,74,652,15,169,280,14667,17,7,-,66,1,6,27,2,581,2619,67,2,10,1,169,18,44,78,73,6312,52,288,-,229,1960,1802,3,1,252,2467,29,647,1381
,Produção florestal - florestas plantadas,38,-,-,-,-,-,-,1,-,2,20,-,-,-,1,1,-,-,-,-,5,1,2,-,-,3,6,-,-,3,5,-,2,16,169,-,-,-,1,-,-,3,-,10,79,-,-,-,-,-,-,-,-,-,14,-,-,-,4,27,24,-,-,-,27,-,11,65
,Produção florestal - florestas nativas,456,1,-,-,1,-,-,-,-,9,31,-,-,-,-,1,-,12,1,2,20,-,16,-,2,46,24,-,-,7,320,1,22,17,1591,17,-,-,8,-,3,-,-,27,303,5,-,1,-,1,3,123,3,3,105,14,64,-,9,217,115,-,-,15,794,1,67,223
,Pesca,3,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,33,-,-,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,10,2,2,16
,Aquicultura,18,-,-,-,-,-,-,1,-,1,5,-,-,-,-,-,-,-,-,1,3,-,-,-,1,2,3,-,-,-,2,-,1,4,13,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,3,-,1,-,-,2,1,-,-,-,1,-,4,2
Rio Grande do Norte,Total,728,4,-,-,-,-,-,-,5,43,67,-,-,-,-,49,4,2,8,17,319,7,3,-,22,29,135,1,-,-,59,-,79,22,2778,1,-,-,4,-,-,-,6,165,533,5,-,-,-,123,8,8,24,84,1044,30,22,-,37,159,350,1,1,3,261,-,257,163
,Produção de lavouras temporárias,118,4,-,-,-,-,-,-,1,13,46,-,-,-,-,1,2,-,2,4,12,4,-,-,1,3,11,-,-,-,5,-,24,19,562,1,-,-,2,-,-,-,1,29,316,-,-,-,-,1,2,2,2,8,28,7,5,-,5,27,34,-,-,-,39,-,80,102
,Horticultura e floricultura,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,35,-,-,-,-,-,-,-,-,3,14,-,-,-,-,-,-,-,2,3,4,-,1,-,-,2,1,-,-,-,2,-,4,4
,Produção de lavouras permanentes,19,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,3,4,-,1,-,-,1,1,-,-,-,1,-,7,-,108,-,-,-,-,-,-,-,-,17,18,-,-,-,-,-,-,1,2,27,4,1,-,-,-,1,-,-,-,-,4,-,36,5
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,569,-,-,-,-,-,-,-,4,28,19,-,-,-,-,48,2,1,6,10,300,3,2,-,21,23,119,1,-,-,45,-,40,3,1992,-,-,-,2,-,-,-,5,112,183,5,-,-,-,120,6,5,17,46,1001,21,15,-,32,125,305,1,1,3,168,-,121,51
,Produção florestal - florestas plantadas,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,2,-,14,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,5,1,-,-,-,-,-,-,-,-,4,-,3,-
,Produção florestal - florestas nativas,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,3,-,-,-,5,-,3,-,65,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,-,-,1,-,2,-,1,-,-,3,9,-,-,-,43,-,13,1
,Pesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-
,Aquicultura,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraíba,Total,2250,32,3,-,7,-,-,-,5,65,204,14,-,-,5,42,6,5,48,17,852,17,99,-,41,232,253,2,-,9,410,12,148,11,8973,9,11,-,12,2,1,-,2,224,1163,56,-,1,5,148,25,2,170,66,4188,42,251,5,89,643,453,10,-,22,1861,38,567,91
,Produção de lavouras temporárias,500,26,1,-,3,-,-,-,-,15,132,4,-,-,-,4,2,4,22,2,29,6,32,-,5,63,33,-,-,-,114,3,52,8,1879,6,4,-,4,1,-,-,-,35,731,18,-,1,1,1,8,-,75,11,167,14,83,-,11,104,76,1,-,-,442,6,245,61
,Horticultura e floricultura,31,-,-,-,-,-,-,-,-,2,15,-,-,-,1,-,-,-,1,-,6,-,1,-,-,-,1,-,-,-,2,-,6,2,144,-,-,-,-,-,-,-,-,7,56,1,-,-,1,-,2,1,4,10,31,3,2,-,3,8,5,-,-,-,8,-,15,6
,Produção de lavouras permanentes,28,4,-,-,-,-,-,-,-,1,3,-,-,-,1,-,-,-,1,5,4,1,3,-,2,2,-,-,-,-,4,-,1,-,115,2,-,-,-,-,-,-,-,10,44,2,-,-,1,2,-,-,5,6,8,-,13,5,-,3,-,-,-,-,10,1,11,3
,Produção de sementes e mudas certificadas,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,1603,2,2,-,4,-,-,-,5,46,51,9,-,-,3,38,4,-,24,10,807,10,56,-,34,164,212,2,-,9,229,7,84,1,6418,1,4,-,6,1,1,-,2,162,314,34,-,-,2,143,15,1,85,34,3942,25,142,-,74,493,362,9,-,22,1123,27,270,21
,Produção florestal - florestas plantadas,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,12,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,9,-,1,-
,Produção florestal - florestas nativas,78,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,4,-,6,-,-,3,6,-,-,-,57,2,4,-,398,-,3,-,2,-,-,-,-,8,15,1,-,-,-,1,-,-,1,4,38,-,11,-,1,34,10,-,-,-,267,4,25,-
,Pesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,2,-,-,-
,Aquicultura,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,2,-,1,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Pernambuco,Total,1338,3,-,-,-,-,-,-,2,36,351,13,-,5,4,21,6,-,17,49,517,17,24,7,14,48,63,2,1,8,153,1,106,43,8193,2,-,-,-,1,1,-,2,162,2488,76,-,15,4,89,24,3,50,97,3678,80,73,-,58,197,170,2,1,16,927,9,374,329
,Produção de lavouras temporárias,401,2,-,-,-,-,-,-,-,5,252,6,-,2,1,-,2,-,4,11,17,10,10,1,3,10,13,-,-,1,33,-,39,36,2453,-,-,-,-,-,-,-,-,28,1759,27,-,6,1,-,6,-,23,26,104,46,25,-,8,34,31,1,-,4,231,1,142,257
,Horticultura e floricultura,32,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,1,4,4,-,-,-,-,-,-,-,-,-,2,-,4,2,139,-,-,-,-,-,-,-,-,3,76,3,-,-,1,-,-,-,3,2,21,2,2,-,-,3,6,-,-,-,5,-,14,12
,Produção de lavouras permanentes,50,-,-,-,-,-,-,-,-,9,12,-,-,-,2,-,-,-,1,16,2,1,1,5,-,-,-,-,-,-,2,-,2,1,303,-,-,-,-,-,-,-,-,18,194,2,-,1,-,-,1,1,2,37,11,3,7,-,2,3,3,-,-,-,4,-,21,13
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,832,1,-,-,-,-,-,-,2,20,67,7,-,3,1,21,3,-,11,16,494,5,13,1,11,37,48,2,1,7,103,1,59,4,5158,2,-,-,-,1,1,-,2,103,443,43,-,8,2,89,17,1,22,29,3538,28,39,-,47,155,129,1,1,12,596,7,185,46
,Produção florestal - florestas plantadas,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,6,-,-,-,46,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,34,-,7,1
,Produção florestal - florestas nativas,10,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,7,-,-,-,90,-,-,-,-,-,-,-,-,8,14,1,-,-,-,-,-,1,-,2,2,1,-,-,1,1,1,-,-,-,57,1,4,-
,Pesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aquicultura,7,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Alagoas,Total,1252,3,-,-,1,-,-,-,2,17,472,4,639,-,1,3,1,-,13,12,42,1,2,-,11,8,6,-,-,-,1,2,29,46,8904,4,-,-,2,-,1,-,3,95,3575,10,4855,1,5,4,1,-,37,26,198,1,14,-,14,52,30,4,1,-,36,9,73,119
,Produção de lavouras temporárias,949,2,-,-,1,-,-,-,-,4,359,1,557,-,-,-,1,-,6,3,-,1,1,-,3,1,1,-,-,-,-,1,16,33,6934,2,-,-,2,-,1,-,-,24,2655,6,4219,-,-,1,1,-,18,9,12,1,8,-,2,17,6,1,-,-,11,1,22,81
,Horticultura e floricultura,21,-,-,-,-,-,-,-,-,1,4,-,9,-,-,-,-,-,2,2,-,-,1,-,-,-,-,-,-,-,-,-,-,2,121,-,-,-,-,-,-,-,-,2,47,-,68,-,1,-,-,-,1,-,2,-,-,-,-,1,-,-,-,-,-,-,-,4
,Produção de lavouras permanentes,26,-,-,-,-,-,-,-,-,-,17,-,1,-,-,-,-,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,2,3,130,-,-,-,-,-,-,-,-,10,91,1,1,-,-,-,-,-,9,10,1,-,1,-,1,-,-,-,-,-,-,1,6,15
,Produção de sementes e mudas certificadas,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,244,1,-,-,-,-,-,-,2,9,88,3,72,-,-,3,-,-,2,3,41,-,-,-,8,7,5,-,-,-,1,1,8,6,1660,2,-,-,-,-,-,-,3,50,751,3,567,1,2,3,-,-,5,6,180,-,5,-,11,32,24,3,1,-,21,7,35,18
,Produção florestal - florestas plantadas,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-
,Produção florestal - florestas nativas,3,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,16,-,-,-,-,-,-,-,-,4,2,-,-,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-
,Pesca,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aquicultura,4,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1
